No.,주문번호,상품명,상품번호,옵션명,"구	매	자",결제일자,주문상태,상품가격,건수,판매가격,결제수수료
1,10339790320,하이넥CT,267524880,color: 아이보리,"임	*	은",2015-01-03 13:55,구매확정,153000,1,153000,5722
2,10440473640,심플 기모스키니,263419509,사이즈: 26,"김	*	희",2015-01-04 10:46,구매확정,22000,1,22000,822
3,10440473640,아이보리,263419509,아이보리,"김	*	희",2015-01-04 10:46,구매확정,0,1,0,0
4,12261729950,줄무늬 OPS,272951607,color: 회색,"홍	*	예",2015-01-22 16:46,구매확정,50000,1,50000,1870
5,12463167760,플라워 OPS,272988024,color: 네이비,"김	*	윰",2015-01-24 8:52,구매확정,73000,1,73000,275
6,12463466710,생지배기 PT,272986231,size: M,"조	*	현",2015-01-24 17:50,구매확정,58000,1,58000,2233
7,12463566160,패턴 NB,273199995,color: 네이비,"김	*	지",2015-01-24 20:43,구매확정,49000,1,49000,1832
8,12463652310,패턴 NB,273199995,color: 네이비,"조	*	영",2015-01-24 22:34,구매확정,49000,1,49000,1832
9,12563915250,패턴 NB,273199995,color: 네이비,"구	*	실",2015-01-25 12:04,구매확정,49000,1,49000,1832
10,12665221520,패턴 NB,273199995,color: 네이비,"이	*	미",2015-01-26 15:07,구매확정,49000,1,49000,275
11,12765868690,패턴 블라우스,273199995,color: 네이비,"김	*	미",2015-01-27 0:18,구매확정,49000,1,49000,1832
12,12766060710,패턴 블라우스,273199995,color: 네이비,"오	*	선",2015-01-27 9:42,구매확정,49000,1,49000,1832
13,12766524980,하이넥CT,267524880,color: 아이보리,"강	*	경",2015-01-27 15:47,구매확정,153000,1,153000,5722
14,12766961550,패턴 블라우스,273199995,color: 네이비,"장	*	영",2015-01-27 22:28,구매확정,49000,1,49000,1886
15,12766996930,패턴 블라우스,273199995,color: 네이비,"박	*	진",2015-01-27 22:57,구매확정,49000,1,49000,1832
16,12767031110,생지 스키니,272989649,size: 26,"고	*	라",2015-01-27 23:22,구매확정,33000,1,33000,1234
17,12767031110,심플 기모스키니,263419509,사이즈: 26,"이	*	정",2015-01-27 23:22,구매확정,22000,1,22000,822
18,12767031110,블랙,263419509,블랙,"노	*	영",2015-01-27 23:22,구매확정,0,1,0,0
19,12767047110,패턴 블라우스,273199995,color: 네이비,"노	*	영",2015-01-27 23:34,구매확정,49000,1,49000,1886
20,12867127710,패턴 블라우스,273199995,color: 네이비,"노	*	영",2015-01-28 0:55,취소,49000,1,49000,1886
21,12767049660,패턴 블라우스,273199995,color: 네이비,"양	*	미",2015-01-28 1:15,구매확정,49000,1,49000,275
22,12767004930,패턴 블라우스,273199995,color: 네이비,"김	*	연",2015-01-28 4:49,구매확정,49000,1,49000,275
23,12867210630,패턴 블라우스,273199995,color: 네이비,"채	*	지",2015-01-28 6:02,구매확정,49000,1,49000,1831
24,12867234960,슬림 SL,273125800,color: 블랙,"오	*	정",2015-01-28 8:14,구매확정,35000,1,35000,1347
25,12867238160,패턴 블라우스,273199995,color: 네이비,"김	*	진",2015-01-28 8:25,구매확정,49000,1,49000,1831
26,12867246120,패턴 블라우스,273199995,color: 네이비,"안	*	정",2015-01-28 8:43,구매확정,49000,1,49000,1832
27,12867251710,라인 VEST,273208498,color: 그레이,"이	*	은",2015-01-28 8:54,구매확정,46000,1,46000,1720
28,12867319650,패턴 블라우스,273199995,color: 네이비,"하	*	나",2015-01-28 10:15,구매확정,49000,1,49000,1832
29,12867321920,패턴 블라우스,273199995,color: 네이비,"문	*	미",2015-01-28 10:17,구매확정,49000,1,49000,1886
30,12767049210,패턴 블라우스,273199995,color: 네이비,"이	*	선",2015-01-28 10:36,구매확정,49000,1,49000,323
31,12867538390,패턴 블라우스,273199995,color: 네이비,"전	*	진",2015-01-28 13:06,구매확정,49000,1,49000,1832
32,12867789560,패턴 블라우스,273199995,color: 네이비,"김	*	희",2015-01-28 15:58,구매확정,49000,1,49000,1832
33,12867798840,패턴 블라우스,273199995,color: 네이비,"고	*	정",2015-01-28 16:06,구매확정,49000,1,49000,1832
34,12868227250,패턴 블라우스,273199995,color: 네이비,"이	*	지",2015-01-28 22:47,구매확정,49000,1,49000,1832
35,12868280160,패턴 블라우스,273199995,color: 아이보리,"김	*	희",2015-01-29 8:41,구매확정,49000,1,49000,275
36,12968585070,패턴 블라우스,273199995,color: 아이보리,"김	*	란",2015-01-29 10:50,구매확정,49000,1,49000,1832
37,12766972590,패턴 블라우스,273199995,color: 네이비,"위	*	미",2015-01-29 12:03,구매확정,49000,1,49000,275
38,12968941570,패턴 블라우스,273199995,color: 네이비,"문	*	경",2015-01-29 15:32,취소,49000,1,49000,1832
39,12969065820,패턴 블라우스,273199995,color: 네이비,"문	*	경",2015-01-29 17:14,구매확정,49000,1,49000,1832
40,12969330350,패턴 블라우스,273199995,color: 네이비,"이	*	희",2015-01-29 22:07,구매확정,49000,1,49000,1832
41,13069629710,프릴 원피스,273851370,,"조	*	기",2015-01-30 9:39,구매확정,49000,1,49000,1832
42,12969038130,패턴 블라우스,273199995,color: 네이비,"김	*	지",2015-01-30 17:54,구매확정,49000,1,49000,275
43,13070164060,패턴 블라우스,273199995,color: 네이비,"박	*	근",2015-01-30 18:52,구매확정,49000,1,49000,275
44,13070201080,플라워 OPS,272988024,color: 네이비,"전	*	화",2015-01-30 19:53,구매확정,73000,1,73000,2730
45,13070252170,패턴 블라우스,273199995,color: 아이보리,"김	*	주",2015-01-30 21:10,구매확정,49000,1,49000,1832
46,13070252170,패턴 블라우스,273199995,color: 네이비,"김	*	경",2015-01-30 21:10,구매확정,49000,1,49000,1832
47,12968941570,패턴 블라우스,273199995,color: 네이비,"김	*	영",2015-01-29 15:32,취소,-49000,1,-49000,-1832
48,13170560600,파스텔 코트,274029967,color: 핑크,"김	*	영",2015-01-31 11:43,반품,79000,1,79000,2954
49,13170573690,패턴 블라우스,273199995,color: 네이비,"노	*	럼",2015-01-31 12:37,구매확정,49000,1,49000,275
50,13170905320,플라워 OPS,272988024,color: 네이비,"박	*	옥",2015-01-31 21:13,구매확정,73000,1,73000,2730
51,20171068970,패턴 블라우스,273199995,color: 네이비,"허	*	영",2015-02-01 0:26,구매확정,49000,1,49000,292
52,20171103900,플라워 OPS,272988024,color: 네이비,"정	*	영",2015-02-01 1:11,구매확정,73000,1,73000,2730
53,20171172680,에나멜 슬립온,274299515,color: 와인 / size: 235,"손	*	은",2015-02-01 5:55,구매확정,48000,1,48000,1848
54,20171253500,플라워 OPS,272988024,color: 네이비,"조	*	라",2015-02-01 10:55,구매확정,73000,1,73000,2730
55,20171583100,패턴 블라우스,273199995,color: 네이비,"손	*	진",2015-02-01 17:57,구매확정,49000,1,49000,1832
56,20171859900,파스텔 코트,274029967,color: 핑크,"신	*	빈",2015-02-01 22:11,구매확정,79000,1,79000,3040
57,20171922210,패턴 블라우스,273199995,color: 네이비,"조	*	빈",2015-02-01 22:52,구매확정,49000,1,49000,1832
58,20272082300,프릴 원피스,273851370,,"염	*	영",2015-02-02 1:03,구매확정,49000,1,49000,1886
59,20272096570,생지배기 PT,272986231,size: M,"최	*	영",2015-02-02 1:23,구매확정,58000,1,58000,2169
60,20272096570,땡땡이 자켓,274036467,color: 그레이,"구	*	정",2015-02-02 1:23,구매확정,83000,1,83000,3104
61,20272312340,슬림 슬랙스,273125800,color: 블랙 / size: S,"최	*	윤",2015-02-02 10:38,취소,35000,1,35000,1309
62,20272312340,패턴 블라우스,273199995,color: 네이비,"최	*	윤",2015-02-02 10:38,구매확정,49000,1,49000,1832
63,20272405540,패턴 블라우스,273199995,color: 네이비,"최	*	슬",2015-02-02 11:45,구매확정,49000,1,49000,275
64,20171513340,하이넥CT,267524880,color: 아이보리,"최	*	슬",2015-02-02 18:47,구매확정,153000,1,153000,275
